name,u_star_2d,wsc,dir_metmast_60m,T_10m,wsp_metmast_10m,wsp_metmast_40m,wsp_metmast_60m,wsp_metmast_80m,wsp_metmast_100m
200801020850,0.277,-0.0113,86.4449,2.95452,4.94659,6.53142,7.46838,8.14569,8.96441
200801020900,0.287,-0.0123,88.3536,2.89954,4.96493,6.65011,7.62216,8.40977,9.1162
200801020910,0.298,-0.0124,89.6457,2.90595,4.73175,6.4612,7.25794,8.04335,8.79871
200801020920,0.256,-0.0105,90.5494,2.93941,4.5045,6.20813,6.96516,7.69872,8.4633
200801020930,0.284,-0.011,89.142,2.93324,4.44208,6.11799,7.07257,8.06548,9.02324
200801020940,0.217,-0.007,84.8307,2.97525,4.08554,5.59404,6.52242,7.47001,8.29235
200801020950,0.247,-0.0093,83.0662,3.04476,4.32573,6.00646,6.94644,7.72503,8.37456
200801021000,0.229,-0.0097,86.9162,3.15931,4.24712,5.66602,6.39321,6.98145,7.57432
200801021010,0.25,-0.0087,88.6356,3.19323,4.12244,5.44001,6.07874,6.83774,7.61408
200801021020,0.241,-0.0073,88.6973,3.22705,4.1266,5.75987,6.50576,7.28413,8.03838
200801021030,0.193,-0.005,86.3043,3.28017,3.78352,5.13119,5.88095,6.59691,7.29042
200801021040,0.233,-0.007,83.3226,3.32043,4.06239,5.09675,5.71119,6.27712,6.83748
200801021050,0.219,-0.0049,84.3421,3.32344,4.00043,5.38451,5.92906,6.41487,7.05016
200801021100,0.224,-0.008,85.3968,3.37115,4.1697,5.31846,6.1107,6.74971,7.43201
200801021110,0.241,-0.0041,85.2198,3.48288,4.43501,5.70756,6.13555,6.69479,7.21496
200801021120,0.304,-0.008,84.617,3.52017,4.49231,5.65169,6.20039,6.74213,7.35258
200801021130,0.288,-0.0065,83.4078,3.60698,4.76104,5.95145,6.36011,6.82427,7.27259
200801021140,0.252,-0.005,80.2326,3.6774,5.24083,6.31149,6.93948,7.51957,7.92974
200801021150,0.172,-0.0028,77.2798,3.78986,5.16755,6.44184,6.9543,7.33857,7.87243
200801021200,0.409,-0.0009,75.332,3.93815,5.73629,6.72659,7.21169,7.64671,8.03121
200801021210,0.353,0.0006,77.1807,4.01385,6.02018,7.29854,7.78025,8.21616,8.56211
200801021220,0.464,-0.0006,81.0822,4.05189,6.47754,7.64026,7.96439,8.27534,8.61539
200801021230,0.368,-0.0001,83.6215,4.05679,6.38485,7.64065,8.23059,8.47128,8.78089
200801021240,0.352,-0.0024,85.3582,4.01626,6.57348,7.76007,8.15218,8.3911,8.73317
200801021250,0.33,-0.0043,87.5586,3.98305,6.18994,6.93729,7.17464,7.53836,7.87173
200801021300,0.318,-0.0035,87.8668,3.9856,5.75613,6.85741,7.22566,7.46491,7.89533
200801021310,0.302,-0.0039,85.7489,4.003,5.8546,6.91666,7.25377,7.32063,7.55876
200801021320,0.37,-0.0061,84.0966,3.99974,5.83368,6.87381,7.31453,7.57046,7.92823
200801021330,0.41,-0.0073,84.2533,4.01349,5.47404,6.75462,7.26783,7.69312,8.02
200801021340,0.317,-0.0057,81.7716,4.01462,5.44242,6.56488,6.92492,7.22137,7.46569
200801021350,0.36,-0.0075,80.7093,4.00026,6.0787,7.20337,7.57317,7.88198,8.30866
200801021400,0.438,-0.0013,81.2734,3.9169,6.57345,7.85059,8.41318,8.86007,9.20216
200801021410,0.406,-0.0057,81.9815,3.83072,6.72579,7.95802,8.37828,8.80286,9.14553
200801021420,0.319,-0.0032,78.84,3.81539,6.0308,7.32534,7.78762,8.15811,8.65109
200801021430,0.362,-0.0043,75.3906,3.81902,5.5845,6.86277,7.43251,7.93402,8.3093
200801021440,0.398,-0.0054,76.4037,3.84015,6.09774,7.35158,7.92193,8.4053,8.82673
200801021450,0.281,-0.0036,76.4197,3.87302,6.23413,7.38997,7.85231,8.28564,8.72504
200801021500,0.321,-0.0079,76.7373,3.88633,6.53376,7.79985,8.33975,8.81605,9.22916
200801021510,0.402,-0.0062,76.2925,3.84946,6.5675,7.97125,8.5258,8.91717,9.29098
200801021520,0.43,-0.0066,77.8597,3.74231,6.59767,8.51794,9.15173,9.60984,10.0732
200801021530,0.447,-0.0097,75.597,3.67895,6.22476,7.47846,8.14915,8.76318,9.25026
200801021540,0.456,-0.0119,76.0132,3.69898,6.62669,8.04007,8.81565,9.23077,9.65143
200801021550,0.495,-0.0139,76.2278,3.72861,6.97159,8.55696,9.15588,9.71199,10.2107
200801021600,0.423,-0.0096,74.3472,3.75223,6.75341,8.30697,8.89999,9.48046,10.0718
200801021610,0.375,-0.0124,75.3623,3.78257,6.65621,8.21591,9.03938,9.55634,10.0171
200801021620,0.308,-0.0114,72.8673,3.79099,6.31272,7.97535,8.73744,9.42702,9.96118
200801021630,0.41,-0.0098,72.5755,3.80205,6.69636,8.13596,8.75641,9.04486,9.59756
200801021640,0.405,-0.0136,70.9752,3.782,6.60514,7.85448,8.52318,8.91569,9.29898
200801021650,0.399,-0.0098,70.337,3.71631,6.21876,7.70507,8.32872,8.64712,9.04639
200801021700,0.385,-0.0083,76.8432,3.70715,6.72122,8.18626,8.80586,9.23954,9.54377
200801021710,0.425,-0.0154,80.5833,3.63613,6.62425,8.08916,8.73951,9.11098,9.50503
200801021720,0.432,-0.0098,80.9437,3.5449,6.74739,8.11288,8.53251,8.90988,9.32964
200801021730,0.42,-0.0104,79.6031,3.44902,6.39754,7.67824,8.30094,8.92042,9.45803
200801021740,0.304,-0.0097,77.9701,3.42621,6.52636,8.20471,8.9556,9.56551,10.0153
200801021750,0.409,-0.0092,75.619,3.40192,6.55638,8.06784,8.64392,9.06657,9.49406
200801021800,0.409,-0.0122,73.0485,3.41594,6.5902,8.18515,8.75456,9.11974,9.55987
200801021810,0.42,-0.0085,72.8754,3.44724,6.64666,8.17091,8.79163,9.22363,9.6657
200801021820,0.425,-0.0121,76.5977,3.45078,6.94793,8.57812,9.18988,9.51898,9.93103
200801021830,0.434,-0.0113,79.7967,3.41082,7.21164,8.91299,9.38811,9.79171,10.2525
200801021840,0.363,-0.0078,81.0775,3.39576,7.13681,8.51552,9.16707,9.63472,9.97472
200801021850,0.476,-0.0122,80.5327,3.39767,6.85681,8.60313,9.09808,9.79563,10.3067
200801021900,0.42,-0.0074,79.0551,3.43678,6.94662,8.7194,9.40203,10.0499,10.6095
200801021910,0.516,-0.0093,77.7536,3.46059,7.36084,9.16656,9.75468,10.2963,10.7648
200801021920,0.452,-0.007,82.4446,3.45701,7.6235,9.38695,9.9112,10.4023,10.8164
200801021930,0.508,-0.0069,88.7966,3.41147,8.51409,10.0429,10.5313,11.0337,11.4968
200801021940,0.469,-0.0088,92.354,3.36476,7.52666,9.01977,9.55703,10.195,10.7692
200801021950,0.534,-0.0098,96.465,3.39383,7.26276,9.13278,9.74423,10.3715,11.0123
200801022000,0.486,-0.0085,96.9874,3.4505,8.34286,10.2112,10.9209,11.4352,11.8913
200801022010,0.517,-0.0049,98.9221,3.36013,7.90603,10.0189,10.7271,11.1963,11.6952
200801022020,0.401,-0.0071,98.538,3.30317,7.26293,8.83155,9.56067,9.80797,10.2036
200801022030,0.435,-0.0118,98.852,3.22437,7.59003,8.96122,9.54281,10.1615,10.9675
200801022040,0.4,-0.01,100.125,3.16191,6.80086,8.23573,8.86761,9.45298,9.96762
200801022050,0.363,-0.0065,97.5999,3.12245,5.92132,7.31927,7.94965,8.57315,9.24589
200801022100,0.393,-0.0116,93.5438,3.18842,5.62867,6.98784,7.59077,7.97422,8.57234
200801022110,0.364,-0.0088,92.8208,3.2184,6.36124,7.60173,8.25288,8.80544,9.12675
200801022120,0.543,-0.0021,93.2753,3.01045,7.6258,9.21837,9.72874,10.2129,10.7416
200801022130,0.483,-0.007,95.6864,2.8053,8.19259,10.0357,10.5693,11.0366,11.5157
200801022140,0.458,-0.0036,95.454,2.74355,8.02531,9.6041,10.036,10.4434,10.9708
200801022150,0.49,-0.0056,95.4767,2.73106,7.91802,9.53636,10.1087,10.6545,11.238
200801022200,0.433,-0.0075,96.0534,2.79987,7.73916,9.38224,10.0432,10.6489,11.3362
200801022210,0.497,-0.0073,94.5123,2.85729,8.21619,9.93776,10.6046,11.2302,11.8059
200801022220,0.447,-0.0058,93.5316,2.78612,7.26465,8.65956,9.3163,9.85756,10.4155
200801022230,0.472,-0.009,96.5731,2.56508,7.73413,9.24624,9.97604,10.5899,11.2622
200801022240,0.296,-0.0059,89.8415,2.2985,6.3997,7.97156,8.58695,9.1569,9.62775
200801022250,0.249,-0.0024,85.5532,2.37464,5.67537,7.47278,8.18494,8.66589,9.22633
200801022300,0.544,-0.0207,87.9546,2.5441,7.09651,8.81119,9.57199,9.96787,10.3874
200801022310,0.53,-0.019,94.377,2.50435,8.14843,9.65666,10.192,10.8072,11.4332
200801022320,0.435,-0.0128,88.1633,2.51184,7.24081,9.14001,9.90892,10.5592,11.089
200801022330,0.539,-0.0149,91.5413,2.53529,7.61767,9.29662,10.102,10.6269,11.1371
200801022340,0.461,-0.0086,98.2506,2.63891,7.622,9.05834,9.58638,10.1643,10.9465
200801022350,0.397,-0.0111,98.8335,2.57064,7.21456,8.68072,9.53681,10.2143,10.7191
